"who2who_1","point_1","who2who_2","point_2","who2who_3","point_3","who2who_4","point_4","who2who_5","point_5","who2who_6","point_6","who2who_7","point_7","who2who_8","point_8","who2who_9","point_9","who2who_10","point_10","who2who_11","point_11"
" Grp1-1 to Grp2-1",151.343979067553," Grp1-2 to Grp2-1",112.058020685714," Grp1-3 to Grp2-1",93.9321563683066," Grp1-4 to Grp2-1",80.4005596995444," Grp1-5 to Grp2-1",86.5866617903705," Grp1-6 to Grp2-1",83.9598118149392," Grp1-7 to Grp2-1",56.5088488645805," Grp1-8 to Grp2-1",50.6211418282915," Grp1-9 to Grp2-1",56.1649356805472," Grp1-10 to Grp2-1",34.0036762718386," Grp1-11 to Grp2-1",66.5450974903486
" Grp1-1 to Grp2-2",147.122398022871," Grp1-2 to Grp2-2",117.953380621329," Grp1-3 to Grp2-2",92.3539387357139," Grp1-4 to Grp2-2",65.7438210024334," Grp1-5 to Grp2-2",61.0184398358398," Grp1-6 to Grp2-2",54.1040663906143," Grp1-7 to Grp2-2",30.9071189210512," Grp1-8 to Grp2-2",42.573465914816," Grp1-9 to Grp2-2",64.9345824657401," Grp1-10 to Grp2-2",52.4046753639406," Grp1-11 to Grp2-2",90.0680298441128
" Grp1-1 to Grp2-3",137.874036714677," Grp1-2 to Grp2-3",119.009453406021," Grp1-3 to Grp2-3",88.5268320906153," Grp1-4 to Grp2-3",52.1536192416212," Grp1-5 to Grp2-3",35.9026461420325," Grp1-6 to Grp2-3",33.6154726279432," Grp1-7 to Grp2-3",31.8904374382039," Grp1-8 to Grp2-3",42.0743389728229," Grp1-9 to Grp2-3",73.3706344527564," Grp1-10 to Grp2-3",69.6347614342147," Grp1-11 to Grp2-3",107.761310311262
" Grp1-1 to Grp2-4",195.471864983173," Grp1-2 to Grp2-4",167.497014898774," Grp1-3 to Grp2-4",141.823834386185," Grp1-4 to Grp2-4",111.198021565134," Grp1-5 to Grp2-4",93.6482781475452," Grp1-6 to Grp2-4",59.5399025864168," Grp1-7 to Grp2-4",29.1547594742265," Grp1-8 to Grp2-4",91.9415575243317," Grp1-9 to Grp2-4",113.385404704486," Grp1-10 to Grp2-4",96.1873172512884," Grp1-11 to Grp2-4",130.101883153166
" Grp1-1 to Grp2-5",205.057309062613," Grp1-2 to Grp2-5",184.354278496595," Grp1-3 to Grp2-5",155.435678015055," Grp1-4 to Grp2-5",119.189974410602," Grp1-5 to Grp2-5",93.1785919618879," Grp1-6 to Grp2-5",50.2120503465055," Grp1-7 to Grp2-5",38.395963329496," Grp1-8 to Grp2-5",106.733312513011," Grp1-9 to Grp2-5",133.240384268434," Grp1-10 to Grp2-5",119.76330823754," Grp1-11 to Grp2-5",155.821211649762
" Grp1-1 to Grp2-6",195.277366840092," Grp1-2 to Grp2-6",186.56701208949," Grp1-3 to Grp2-6",154.081147451594," Grp1-4 to Grp2-6",112.64102272263," Grp1-5 to Grp2-6",78.3390068867355," Grp1-6 to Grp2-6",37.1214223865412," Grp1-7 to Grp2-6",57.4891294072192," Grp1-8 to Grp2-6",111.544834035468," Grp1-9 to Grp2-6",143.217491948435," Grp1-10 to Grp2-6",136.970799807842," Grp1-11 to Grp2-6",175.135661702578
" Grp1-1 to Grp2-7",234.762113638466," Grp1-2 to Grp2-7",205.429428271609," Grp1-3 to Grp2-7",180.783019114075," Grp1-4 to Grp2-7",150.387831954583," Grp1-5 to Grp2-7",130.700038255541," Grp1-6 to Grp2-7",91.4685738382314," Grp1-7 to Grp2-7",67.1900290221697," Grp1-8 to Grp2-7",130.939871696898," Grp1-9 to Grp2-7",150.410272255588," Grp1-10 to Grp2-7",130.868254362928," Grp1-11 to Grp2-7",161.37533888423
" Grp1-1 to Grp2-8",245.10252956671," Grp1-2 to Grp2-8",222.910856622104," Grp1-3 to Grp2-8",194.879449917122," Grp1-4 to Grp2-8",159.238814363835," Grp1-5 to Grp2-8",132.612216631802," Grp1-6 to Grp2-8",88.5268320906153," Grp1-7 to Grp2-8",77.1621668954417," Grp1-8 to Grp2-8",145.647691365157," Grp1-9 to Grp2-8",170.235865786267," Grp1-10 to Grp2-8",154.116838794468," Grp1-11 to Grp2-8",187.916204729661
" Grp1-1 to Grp2-9",266.122622112439," Grp1-2 to Grp2-9",246.652082902213," Grp1-3 to Grp2-9",217.666028585078," Grp1-4 to Grp2-9",180.423113818601," Grp1-5 to Grp2-9",151.269626825744," Grp1-6 to Grp2-9",106.501173702453," Grp1-7 to Grp2-9",100.610635620694," Grp1-8 to Grp2-9",169.059900626967," Grp1-9 to Grp2-9",194.862130748896," Grp1-10 to Grp2-9",179.506267300058," Grp1-11 to Grp2-9",213.677326827158
" Grp1-1 to Grp2-10",247.951608181919," Grp1-2 to Grp2-10",233.452350598575," Grp1-3 to Grp2-10",202.722100423215," Grp1-4 to Grp2-10",163.264356183461," Grp1-5 to Grp2-10",131.385882042174," Grp1-6 to Grp2-10",87.1220408392733," Grp1-7 to Grp2-10",89.7008918573277," Grp1-8 to Grp2-10",156.001602555871," Grp1-9 to Grp2-10",184.533194845805," Grp1-10 to Grp2-10",172.32309769732," Grp1-11 to Grp2-10",208.586313069674
